gen	phenotype	value
S	winglength	2.005
S	devL1A	9.5
S	devL1LP	5.5
S	devLPA	4.0
S	mass	1.6
S	eggsize	225.43964847787998
S	ovarno	33.0
S	winglength	2.005
S	devL1A	9.5
S	devL1LP	5.5
S	devLPA	4.0
S	mass	1.7
S	eggsize	188.25846814048424
S	winglength	2.005
S	devL1A	9.5
S	devL1LP	5.5
S	devLPA	4.0
R	mass	1.7
R	eggsize	153.95588541830443
R	ovarno	40.0
R	winglength	2.006
R	devL1A	8.5
R	devL1LP	3.5
R	devLPA	5.0
S	mass	1.5
S	eggsize	146.4176999803454
S	ovarno	42.0
S	winglength	2.006
S	devL1A	8.5
S	devL1LP	5.5
S	devLPA	3.0
S	mass	1.6
S	eggsize	134.34187219683534
S	ovarno	36.0
S	winglength	2.009
S	devL1A	8.5
S	devL1LP	4.5
S	devLPA	4.0
R	mass	1.7
R	eggsize	68.91266112554227
R	winglength	2.009
R	devL1A	8.5
R	devL1LP	3.5
R	devLPA	5.0
S	mass	1.5
S	eggsize	166.37212060096286
S	ovarno	33.0
S	winglength	2.011
S	devL1A	9.5
S	devL1LP	5.5
S	devLPA	4.0
R	mass	1.8
R	eggsize	161.33290478119508
R	ovarno	35.0
R	winglength	2.012
R	devL1A	7.5
R	devL1LP	3.5
R	devLPA	4.0
S	mass	1.7
S	eggsize	204.30824678243846
S	ovarno	40.0
S	winglength	2.012
S	devL1A	9.5
S	devL1LP	5.5
S	devLPA	4.0
S	mass	1.8
S	eggsize	89.29018235573456
S	ovarno	39.0
S	winglength	2.013
S	devL1A	9.5
S	devL1LP	5.5
S	devLPA	4.0
R	mass	1.9
R	eggsize	204.8848108697184
R	ovarno	41.0
R	winglength	2.0140000000000002
R	devL1A	7.5
R	devL1LP	3.5
R	devLPA	4.0
R	mass	1.6
R	eggsize	124.71140688168616
R	ovarno	34.0
R	winglength	2.015
R	devL1A	8.5
R	devL1LP	4.5
R	devLPA	4.0
R	mass	1.3
R	eggsize	94.16375935564608
R	ovarno	34.0
R	winglength	2.015
R	devL1A	7.5
R	devL1LP	3.5
R	devLPA	4.0
S	mass	1.5
S	eggsize	129.60241972781884
S	ovarno	32.0
S	winglength	2.016
S	devL1A	9.5
S	devL1LP	5.5
S	devLPA	4.0
R	mass	1.9
R	eggsize	134.33709022082022
R	ovarno	38.0
R	winglength	2.017
R	devL1A	8.5
R	devL1LP	4.5
R	devLPA	4.0
R	mass	1.5
R	eggsize	93.74694499885521
R	ovarno	40.0
R	winglength	2.017
R	devL1A	7.5
R	devL1LP	3.5
R	devLPA	4.0
S	mass	1.7
S	eggsize	154.28174891203412
S	ovarno	40.0
S	winglength	2.017
S	devL1A	8.5
S	devL1LP	4.5
S	devLPA	4.0
S	mass	1.6
S	eggsize	69.6527028218197
S	winglength	2.017
S	devL1A	8.5
S	devL1LP	4.5
S	devLPA	4.0
S	mass	1.8
S	eggsize	116.00903380719545
S	winglength	2.017
S	devL1A	8.5
S	devL1LP	4.5
S	devLPA	4.0
R	mass	1.8
R	eggsize	170.34410569541137
R	ovarno	28.0
R	winglength	2.019
R	devL1A	8.5
R	devL1LP	3.5
R	devLPA	5.0
S	mass	1.6
S	eggsize	195.21905767906293
S	ovarno	39.0
S	winglength	2.019
S	devL1A	8.5
S	devL1LP	5.5
S	devLPA	3.0
S	mass	1.5
S	eggsize	98.98691922381592
S	ovarno	35.0
S	winglength	2.02
S	devL1A	10.5
S	devL1LP	6.5
S	devLPA	4.0
R	mass	1.7
R	eggsize	175.0943522182045
R	ovarno	38.0
R	winglength	2.02
R	devL1A	8.5
R	devL1LP	4.5
R	devLPA	4.0
S	mass	1.6
S	eggsize	120.84170900181653
S	winglength	2.02
S	devL1A	9.5
S	devL1LP	5.5
S	devLPA	4.0
R	mass	1.8
R	eggsize	185.49562416887954
R	ovarno	40.0
R	winglength	2.021
R	devL1A	8.5
R	devL1LP	4.5
R	devLPA	4.0
S	mass	1.6
S	eggsize	173.56813906773132
S	winglength	2.021
S	devL1A	9.5
S	devL1LP	5.5
S	devLPA	4.0
R	mass	2.0
R	eggsize	131.88640861513278
R	ovarno	42.0
R	winglength	2.022
R	devL1A	8.5
R	devL1LP	3.5
R	devLPA	5.0
R	mass	1.8
R	eggsize	99.93186992738673
R	ovarno	35.0
R	winglength	2.023
R	devL1A	7.5
R	devL1LP	3.5
R	devLPA	4.0
R	mass	1.7
R	eggsize	137.1049180267229
R	ovarno	39.0
R	winglength	2.023
R	devL1A	8.5
R	devL1LP	4.5
R	devLPA	4.0
S	mass	1.6
S	eggsize	173.6684769260209
S	winglength	2.023
S	devL1A	9.5
S	devL1LP	5.5
S	devLPA	4.0
R	mass	1.7
R	eggsize	123.2657510017064
R	ovarno	41.0
R	winglength	2.024
R	devL1A	8.5
R	devL1LP	4.5
R	devLPA	4.0
R	mass	1.5
R	eggsize	182.59475271220245
R	ovarno	42.0
R	winglength	2.024
R	devL1A	7.5
R	devL1LP	4.5
R	devLPA	3.0
R	mass	1.8
R	eggsize	203.2995158369069
R	ovarno	24.0
R	winglength	2.025
R	devL1A	8.5
R	devL1LP	3.5
R	devLPA	5.0
R	mass	1.4
R	eggsize	73.6187948924138
R	ovarno	40.0
R	winglength	2.025
R	devL1A	8.5
R	devL1LP	4.5
R	devLPA	4.0
S	mass	1.5
S	eggsize	131.11907275987465
S	ovarno	33.0
S	winglength	2.026
S	devL1A	8.5
S	devL1LP	5.5
S	devLPA	3.0
R	mass	1.6
R	eggsize	147.97195029644774
R	winglength	2.0269999999999997
R	devL1A	8.5
R	devL1LP	3.5
R	devLPA	5.0
S	mass	1.6
S	eggsize	172.9639016418219
S	winglength	2.0269999999999997
S	devL1A	9.5
S	devL1LP	5.5
S	devLPA	4.0
S	mass	1.6
S	eggsize	241.32004179444266
S	ovarno	35.0
S	winglength	2.028
S	devL1A	8.5
S	devL1LP	4.5
S	devLPA	4.0
R	mass	2.1
R	eggsize	81.4331913062562
R	ovarno	39.0
R	winglength	2.028
R	devL1A	8.5
R	devL1LP	4.5
R	devLPA	4.0
R	mass	1.7
R	eggsize	153.98122697830118
R	winglength	2.028
R	devL1A	8.5
R	devL1LP	3.5
R	devLPA	5.0
R	mass	1.9
R	eggsize	78.62784221945236
R	ovarno	32.0
R	winglength	2.029
R	devL1A	8.5
R	devL1LP	3.5
R	devLPA	5.0
S	mass	1.5
S	eggsize	204.72087532489357
S	ovarno	38.0
S	winglength	2.029
S	devL1A	9.5
S	devL1LP	5.5
S	devLPA	4.0
S	mass	1.6
S	eggsize	198.43901872679143
S	ovarno	26.0
S	winglength	2.03
S	devL1A	9.5
S	devL1LP	5.5
S	devLPA	4.0
R	mass	1.5
R	eggsize	206.34241688440036
R	ovarno	42.0
R	winglength	2.03
R	devL1A	7.5
R	devL1LP	4.5
R	devLPA	3.0
S	mass	1.1
S	eggsize	81.42183171614387
S	ovarno	35.0
S	winglength	2.031
S	devL1A	8.5
S	devL1LP	4.5
S	devLPA	4.0
R	mass	1.6
R	eggsize	157.93797092341768
R	ovarno	43.0
R	winglength	2.031
R	devL1A	8.5
R	devL1LP	3.5
R	devLPA	5.0
S	mass	1.5
S	eggsize	97.40101957585934
S	winglength	2.031
S	devL1A	9.5
S	devL1LP	5.5
S	devLPA	4.0
S	mass	2.0
S	eggsize	240.91870253280342
S	winglength	2.031
S	devL1A	8.5
S	devL1LP	4.5
S	devLPA	4.0
S	mass	1.8
S	eggsize	150.33709677359658
S	ovarno	37.0
S	winglength	2.032
S	devL1A	9.5
S	devL1LP	5.5
S	devLPA	4.0
S	mass	1.6
S	eggsize	158.4336034423996
S	ovarno	40.0
S	winglength	2.032
S	devL1A	9.5
S	devL1LP	5.5
S	devLPA	4.0
S	mass	1.7
S	eggsize	223.5853653614072
S	ovarno	34.0
S	winglength	2.033
S	devL1A	9.5
S	devL1LP	5.5
S	devLPA	4.0
S	mass	1.6
S	eggsize	203.05029918819457
S	ovarno	34.0
S	winglength	2.033
S	devL1A	9.5
S	devL1LP	5.5
S	devLPA	4.0
S	mass	1.3
S	eggsize	186.45731124484038
S	ovarno	40.0
S	winglength	2.0340000000000003
S	devL1A	8.5
S	devL1LP	4.5
S	devLPA	4.0
R	mass	1.7
R	eggsize	175.40873571708485
R	winglength	2.0340000000000003
R	devL1A	8.5
R	devL1LP	4.5
R	devLPA	4.0
R	mass	1.8
R	eggsize	253.16893902416862
R	ovarno	45.0
R	winglength	2.035
R	devL1A	7.5
R	devL1LP	3.5
R	devLPA	4.0
S	mass	2.0
S	eggsize	197.5153597288874
S	ovarno	20.0
S	winglength	2.036
S	devL1A	9.5
S	devL1LP	5.5
S	devLPA	4.0
R	mass	1.7
R	eggsize	167.3927930724408
R	winglength	2.036
R	devL1A	8.5
R	devL1LP	3.5
R	devLPA	5.0
P	mass	1.1
P	eggsize	122.93975132495709
P	ovarno	25.0
P	winglength	2.037
P	devL1A	11.5
P	devL1LP	7.5
P	devLPA	4.0
R	mass	1.6
R	eggsize	177.7582696741695
R	ovarno	36.0
R	winglength	2.037
R	devL1A	8.5
R	devL1LP	3.5
R	devLPA	5.0
S	mass	1.6
S	eggsize	188.50552446920625
S	ovarno	38.0
S	winglength	2.037
S	devL1A	9.5
S	devL1LP	5.5
S	devLPA	4.0
S	mass	1.6
S	eggsize	276.0559672390617
S	ovarno	40.0
S	winglength	2.037
S	devL1A	9.5
S	devL1LP	5.5
S	devLPA	4.0
R	mass	1.7
R	eggsize	262.44931373721533
R	ovarno	38.0
R	winglength	2.0380000000000003
R	devL1A	7.5
R	devL1LP	3.5
R	devLPA	4.0
R	mass	1.7
R	eggsize	169.40985632628974
R	ovarno	36.0
R	winglength	2.04
R	devL1A	8.5
R	devL1LP	4.5
R	devLPA	4.0
R	mass	1.7
R	eggsize	168.7373660355954
R	ovarno	36.0
R	winglength	2.041
R	devL1A	8.5
R	devL1LP	3.5
R	devLPA	5.0
R	mass	1.8
R	eggsize	136.97564835555258
R	ovarno	40.0
R	winglength	2.041
R	devL1A	7.5
R	devL1LP	4.5
R	devLPA	3.0
S	mass	1.6
S	eggsize	50.95447843301557
S	ovarno	42.0
S	winglength	2.041
S	devL1A	8.5
S	devL1LP	4.5
S	devLPA	4.0
R	mass	1.7
R	eggsize	220.20106127698867
R	ovarno	32.0
R	winglength	2.044
R	devL1A	8.5
R	devL1LP	4.5
R	devLPA	4.0
R	mass	1.7
R	eggsize	179.58276644809214
R	ovarno	39.0
R	winglength	2.045
R	devL1A	7.5
R	devL1LP	3.5
R	devLPA	4.0
S	mass	1.6
S	eggsize	113.40746690020576
S	ovarno	41.0
S	winglength	2.045
S	devL1A	9.5
S	devL1LP	5.5
S	devLPA	4.0
R	mass	2.0
R	eggsize	156.51436855959886
R	ovarno	42.0
R	winglength	2.045
R	devL1A	8.5
R	devL1LP	3.5
R	devLPA	5.0
S	mass	1.3
S	eggsize	158.16571065270304
S	ovarno	34.0
S	winglength	2.0469999999999997
S	devL1A	8.5
S	devL1LP	4.5
S	devLPA	4.0
S	mass	2.0
S	eggsize	91.33391565520378
S	ovarno	37.0
S	winglength	2.048
S	devL1A	8.5
S	devL1LP	4.5
S	devLPA	4.0
S	mass	1.5
S	eggsize	216.18901312636612
S	ovarno	40.0
S	winglength	2.05
S	devL1A	9.5
S	devL1LP	5.5
S	devLPA	4.0
S	mass	1.5
S	eggsize	81.54109903011457
S	ovarno	29.0
S	winglength	2.051
S	devL1A	9.5
S	devL1LP	5.5
S	devLPA	4.0
S	mass	1.6
S	eggsize	109.36875846332651
S	winglength	2.051
S	devL1A	9.5
S	devL1LP	5.5
S	devLPA	4.0
S	mass	1.6
S	eggsize	167.40300209144638
S	winglength	2.052
S	devL1A	8.5
S	devL1LP	5.5
S	devLPA	3.0
R	mass	1.4
R	eggsize	114.39004105463621
R	ovarno	41.0
R	winglength	2.053
R	devL1A	7.5
R	devL1LP	4.5
R	devLPA	3.0
R	mass	1.9
R	eggsize	143.17828902625052
R	ovarno	42.0
R	winglength	2.055
R	devL1A	8.5
R	devL1LP	4.5
R	devLPA	4.0
R	mass	1.4
R	eggsize	141.96432234644726
R	ovarno	36.0
R	winglength	2.0580000000000003
R	devL1A	7.5
R	devL1LP	3.5
R	devLPA	4.0
R	mass	1.5
R	eggsize	146.2681640878177
R	ovarno	40.0
R	winglength	2.0580000000000003
R	devL1A	7.5
R	devL1LP	3.5
R	devLPA	4.0
R	mass	1.8
R	eggsize	148.81430003313403
R	ovarno	43.0
R	winglength	2.0580000000000003
R	devL1A	8.5
R	devL1LP	4.5
R	devLPA	4.0
S	mass	1.7
S	eggsize	174.47674267462884
S	ovarno	38.0
S	winglength	2.06
S	devL1A	9.5
S	devL1LP	5.5
S	devLPA	4.0
R	mass	1.8
R	eggsize	251.57893448686644
R	winglength	2.06
R	devL1A	8.5
R	devL1LP	4.5
R	devLPA	4.0
R	mass	1.9
R	eggsize	98.7283553375283
R	ovarno	35.0
R	winglength	2.065
R	devL1A	8.5
R	devL1LP	4.5
R	devLPA	4.0
R	mass	1.7
R	eggsize	140.35768217841363
R	ovarno	35.0
R	winglength	2.066
R	devL1A	8.5
R	devL1LP	4.5
R	devLPA	4.0
S	mass	1.7
S	eggsize	168.9270514253689
S	ovarno	37.0
S	winglength	2.066
S	devL1A	8.5
S	devL1LP	4.5
S	devLPA	4.0
R	mass	1.5
R	eggsize	131.4503966027688
R	winglength	2.0669999999999997
R	devL1A	8.5
R	devL1LP	3.5
R	devLPA	5.0
R	mass	1.6
R	eggsize	91.8236181571431
R	winglength	2.07
R	devL1A	7.5
R	devL1LP	3.5
R	devLPA	4.0
S	mass	1.8
S	eggsize	96.91222028525354
S	ovarno	35.0
S	winglength	2.072
S	devL1A	9.5
S	devL1LP	5.5
S	devLPA	4.0
R	mass	1.6
R	eggsize	186.9852937521741
R	ovarno	38.0
R	winglength	2.073
R	devL1A	8.5
R	devL1LP	4.5
R	devLPA	4.0
R	mass	1.5
R	eggsize	57.98985657779645
R	ovarno	37.0
R	winglength	2.074
R	devL1A	7.5
R	devL1LP	3.5
R	devLPA	4.0
S	mass	1.8
S	eggsize	176.46489165191474
S	ovarno	40.0
S	winglength	2.074
S	devL1A	8.5
S	devL1LP	4.5
S	devLPA	4.0
S	mass	1.9
S	eggsize	238.27682082586304
S	ovarno	32.0
S	winglength	2.0780000000000003
S	devL1A	8.5
S	devL1LP	4.5
S	devLPA	4.0
R	mass	1.9
R	eggsize	197.78689173328289
R	ovarno	40.0
R	winglength	2.08
R	devL1A	7.5
R	devL1LP	3.5
R	devLPA	4.0
R	mass	1.9
R	eggsize	94.6631287901661
R	ovarno	41.0
R	winglength	2.082
R	devL1A	8.5
R	devL1LP	3.5
R	devLPA	5.0
R	mass	1.8
R	eggsize	64.38684288600118
R	ovarno	36.0
R	winglength	2.0869999999999997
R	devL1A	7.5
R	devL1LP	4.5
R	devLPA	3.0
R	mass	2.3
R	eggsize	133.44531544134313
R	ovarno	41.0
R	winglength	2.088
R	devL1A	8.5
R	devL1LP	4.5
R	devLPA	4.0
R	mass	1.8
R	eggsize	192.17811298844745
R	ovarno	36.0
R	winglength	2.093
R	devL1A	8.5
R	devL1LP	4.5
R	devLPA	4.0
S	mass	1.6
S	eggsize	172.68011471459837
S	ovarno	39.0
S	winglength	2.094
S	devL1A	9.5
S	devL1LP	5.5
S	devLPA	4.0
R	mass	1.8
R	eggsize	16.58453781386612
R	ovarno	43.0
R	winglength	2.106
R	devL1A	7.5
R	devL1LP	3.5
R	devLPA	4.0
R	mass	2.2
R	eggsize	96.88133049794256
R	winglength	2.1069999999999998
R	devL1A	8.5
R	devL1LP	3.5
R	devLPA	5.0
R	mass	1.7
R	eggsize	185.95799637124856
R	ovarno	46.0
R	winglength	2.108
R	devL1A	8.5
R	devL1LP	4.5
R	devLPA	4.0
P	mass	1.5
P	eggsize	168.59940438338532
P	ovarno	28.0
P	devL1A	10.5
P	devL1LP	6.5
P	devLPA	4.0
P	mass	1.1
P	eggsize	115.2026515470927
P	ovarno	32.0
P	devL1A	9.5
P	devL1LP	5.5
P	devLPA	4.0
R	mass	1.3
R	eggsize	203.13370501275497
R	ovarno	34.0
R	devL1A	7.5
R	devL1LP	4.5
R	devLPA	3.0
R	mass	1.5
R	eggsize	201.36118970270454
R	ovarno	36.0
R	devL1A	8.5
R	devL1LP	4.5
R	devLPA	4.0
S	mass	1.5
S	eggsize	119.42946790105745
S	ovarno	38.0
S	devL1A	9.5
S	devL1LP	5.5
S	devLPA	4.0
R	mass	1.5
R	eggsize	140.54348546822564
R	ovarno	39.0
R	devL1A	7.5
R	devL1LP	4.5
R	devLPA	3.0
R	mass	2.4
R	eggsize	151.32010964268272
R	ovarno	40.0
R	devL1A	8.5
R	devL1LP	3.5
R	devLPA	5.0
P	mass	1.4
P	eggsize	94.09660918086449
P	devL1A	9.5
P	devL1LP	5.5
P	devLPA	4.0
P	mass	1.1
P	eggsize	121.64933821361579
P	devL1A	10.5
P	devL1LP	6.5
P	devLPA	4.0
P	mass	1.4
P	eggsize	110.06494003722919
P	devL1A	12.5
P	devL1LP	8.5
P	devLPA	4.0
R	mass	1.5
R	eggsize	217.01744551435144
R	devL1A	7.5
R	devL1LP	4.5
R	devLPA	3.0
R	mass	1.8
R	eggsize	48.58210450234945
R	devL1A	8.5
R	devL1LP	4.5
R	devLPA	4.0
R	mass	2.1
R	eggsize	174.082759494997
R	devL1A	8.5
R	devL1LP	4.5
R	devLPA	4.0
R	mass	2.1
R	eggsize	126.41833725190568
R	devL1A	8.5
R	devL1LP	4.5
R	devLPA	4.0
S	mass	1.7
S	eggsize	116.52442040990309
S	devL1A	9.5
S	devL1LP	5.5
S	devLPA	4.0
S	mass	1.3
S	eggsize	131.7665915165316
S	devL1A	8.5
S	devL1LP	4.5
S	devLPA	4.0
PP	mass	0.9
PP	eggsize	102.45388054986513
PP	winglength	1.652
PP	devL1A	12.5
PP	devL1LP	8.5
PP	devLPA	4.0
RP	mass	0.8
RP	eggsize	91.18618946821131
RP	winglength	1.659
RP	devL1A	13.5
RP	devL1LP	9.5
RP	devLPA	4.0
RP	mass	0.9
RP	eggsize	76.0156009689843
RP	winglength	1.66
RP	devL1A	13.5
RP	devL1LP	9.5
RP	devLPA	4.0
PP	mass	1.0
PP	eggsize	154.90149518608294
PP	ovarno	23.0
PP	winglength	1.672
PP	devL1A	12.5
PP	devL1LP	8.5
PP	devLPA	4.0
RP	mass	0.6
RP	eggsize	217.06288584270408
RP	winglength	1.681
RP	devL1A	10.5
RP	devL1LP	5.5
RP	devLPA	5.0
RP	mass	1.1
RP	eggsize	136.26528990620423
RP	winglength	1.7
RP	devL1A	12.5
RP	devL1LP	8.5
RP	devLPA	4.0
RP	mass	1.1
RP	eggsize	102.48256724062132
RP	ovarno	23.0
RP	winglength	1.709
RP	devL1A	12.5
RP	devL1LP	7.5
RP	devLPA	5.0
PP	mass	1.1
PP	eggsize	148.03865166924214
PP	winglength	1.7109999999999999
PP	devL1A	11.5
PP	devL1LP	7.5
PP	devLPA	4.0
PP	mass	0.8
PP	eggsize	76.43408730806314
PP	winglength	1.712
PP	devL1A	12.5
PP	devL1LP	8.5
PP	devLPA	4.0
RP	mass	0.6
RP	eggsize	92.44257102303736
RP	ovarno	28.0
RP	winglength	1.716
RP	devL1A	10.5
RP	devL1LP	5.5
RP	devLPA	5.0
RP	mass	1.0
RP	eggsize	172.95369976666663
RP	winglength	1.716
RP	devL1A	10.5
RP	devL1LP	6.5
RP	devLPA	4.0
PP	mass	0.8
PP	eggsize	164.55605294625968
PP	winglength	1.723
PP	devL1A	11.5
PP	devL1LP	7.5
PP	devLPA	4.0
PP	mass	1.0
PP	eggsize	128.04377229244815
PP	ovarno	26.0
PP	winglength	1.743
PP	devL1A	12.5
PP	devL1LP	8.5
PP	devLPA	4.0
RP	mass	0.9
RP	eggsize	121.73786973518379
RP	winglength	1.755
RP	devL1A	12.5
RP	devL1LP	8.5
RP	devLPA	4.0
RP	mass	1.1
RP	eggsize	119.21249547201776
RP	winglength	1.756
RP	devL1A	11.5
RP	devL1LP	7.5
RP	devLPA	4.0
RP	mass	0.8
RP	eggsize	169.83259813768743
RP	winglength	1.765
RP	devL1A	11.5
RP	devL1LP	7.5
RP	devLPA	4.0
PP	mass	1.2
PP	eggsize	87.850440997783
PP	winglength	1.7690000000000001
PP	devL1A	15.5
PP	devL1LP	11.5
PP	devLPA	4.0
PP	mass	0.7
PP	eggsize	100.9080667766642
PP	winglength	1.77
PP	devL1A	11.5
PP	devL1LP	6.5
PP	devLPA	5.0
PR	mass	0.7
PR	eggsize	121.18670616904447
PR	winglength	1.771
PR	devL1A	12.5
PR	devL1LP	8.5
PR	devLPA	4.0
PR	mass	0.8
PR	eggsize	158.88138063462537
PR	winglength	1.774
PR	devL1A	13.5
PR	devL1LP	9.5
PR	devLPA	4.0
PR	mass	0.7
PR	eggsize	95.04125916482451
PR	winglength	1.774
PR	devL1A	12.5
PR	devL1LP	8.5
PR	devLPA	4.0
RP	mass	0.9
RP	eggsize	129.80727632182735
RP	winglength	1.787
RP	devL1A	13.5
RP	devL1LP	9.5
RP	devLPA	4.0
PP	mass	1.2
PP	eggsize	117.81778057324505
PP	winglength	1.7919999999999998
PP	devL1A	12.5
PP	devL1LP	8.5
PP	devLPA	4.0
PP	mass	1.4
PP	eggsize	161.59749818882378
PP	winglength	1.7930000000000001
PP	devL1A	13.5
PP	devL1LP	9.5
PP	devLPA	4.0
PP	mass	1.0
PP	eggsize	103.9989590742868
PP	winglength	1.797
PP	devL1A	11.5
PP	devL1LP	6.5
PP	devLPA	5.0
PP	mass	1.7
PP	eggsize	153.24857857057438
PP	winglength	1.804
PP	devL1A	9.5
PP	devL1LP	5.5
PP	devLPA	4.0
RP	mass	1.4
RP	eggsize	147.2843993067821
RP	ovarno	30.0
RP	winglength	1.806
RP	devL1A	10.5
RP	devL1LP	6.5
RP	devLPA	4.0
RP	mass	1.1
RP	eggsize	247.03807897150955
RP	ovarno	30.0
RP	winglength	1.8119999999999998
RP	devL1A	10.5
RP	devL1LP	6.5
RP	devLPA	4.0
RP	mass	0.9
RP	eggsize	76.5835642338023
RP	winglength	1.824
RP	devL1A	13.5
RP	devL1LP	9.5
RP	devLPA	4.0
RP	mass	1.6
RP	eggsize	211.80335111831928
RP	winglength	1.825
RP	devL1A	10.5
RP	devL1LP	6.5
RP	devLPA	4.0
SS	mass	1.3
SS	eggsize	147.35049080424906
SS	ovarno	34.0
SS	winglength	1.827
SS	devL1A	9.5
SS	devL1LP	5.5
SS	devLPA	4.0
PP	mass	1.3
PP	eggsize	183.48836448091598
PP	winglength	1.83
PP	devL1A	11.5
PP	devL1LP	7.5
PP	devLPA	4.0
PP	mass	1.0
PP	eggsize	189.08212379496925
PP	ovarno	26.0
PP	winglength	1.831
PP	devL1A	11.5
PP	devL1LP	7.5
PP	devLPA	4.0
RP	mass	0.7
RP	eggsize	124.43280214934704
RP	winglength	1.831
RP	devL1A	10.5
RP	devL1LP	5.5
RP	devLPA	5.0
PP	mass	1.0
PP	eggsize	105.72400033210864
PP	ovarno	26.0
PP	winglength	1.835
PP	devL1A	11.5
PP	devL1LP	6.5
PP	devLPA	5.0
RP	mass	1.1
RP	eggsize	152.54285965763762
RP	ovarno	26.0
RP	winglength	1.839
RP	devL1A	11.5
RP	devL1LP	7.5
RP	devLPA	4.0
PR	mass	1.8
PR	eggsize	165.24310794590403
PR	ovarno	41.0
PR	winglength	1.84
PR	devL1A	9.5
PR	devL1LP	4.5
PR	devLPA	5.0
RP	mass	1.6
RP	eggsize	137.80935695943455
RP	winglength	1.841
RP	devL1A	10.5
RP	devL1LP	6.5
RP	devLPA	4.0
PP	mass	1.2
PP	eggsize	174.40446351911126
PP	winglength	1.8430000000000002
PP	devL1A	10.5
PP	devL1LP	6.5
PP	devLPA	4.0
RP	mass	0.9
RP	eggsize	54.692549878223964
RP	winglength	1.844
RP	devL1A	11.5
RP	devL1LP	6.5
RP	devLPA	5.0
PP	mass	1.4
PP	eggsize	177.16410693467134
PP	winglength	1.845
PP	devL1A	12.5
PP	devL1LP	8.5
PP	devLPA	4.0
PP	mass	0.9
PP	eggsize	156.5427692686499
PP	winglength	1.8459999999999999
PP	devL1A	11.5
PP	devL1LP	6.5
PP	devLPA	5.0
RP	mass	1.1
RP	eggsize	179.85210421649998
RP	winglength	1.8459999999999999
RP	devL1A	16.5
RP	devL1LP	12.5
RP	devLPA	4.0
PP	mass	1.1
PP	eggsize	160.40827070662218
PP	winglength	1.851
PP	devL1A	13.5
PP	devL1LP	10.5
PP	devLPA	3.0
PP	mass	1.1
PP	eggsize	109.53020935510824
PP	winglength	1.851
PP	devL1A	11.5
PP	devL1LP	7.5
PP	devLPA	4.0
PP	mass	1.3
PP	eggsize	150.4089530651206
PP	ovarno	22.0
PP	winglength	1.86
PP	devL1A	12.5
PP	devL1LP	8.5
PP	devLPA	4.0
PP	mass	1.1
PP	eggsize	143.72080317986308
PP	winglength	1.861
PP	devL1A	11.5
PP	devL1LP	7.5
PP	devLPA	4.0
RP	mass	1.5
RP	eggsize	153.00683091451103
RP	ovarno	31.0
RP	winglength	1.868
RP	devL1A	9.5
RP	devL1LP	5.5
RP	devLPA	4.0
PP	mass	1.1
PP	eggsize	174.35617246216648
PP	winglength	1.868
PP	devL1A	11.5
PP	devL1LP	6.5
PP	devLPA	5.0
PR	mass	1.3
PR	eggsize	180.52974377253585
PR	winglength	1.87
PR	devL1A	8.5
PR	devL1LP	4.5
PR	devLPA	4.0
RP	mass	0.7
RP	eggsize	57.90998806202794
RP	ovarno	35.0
RP	winglength	1.874
RP	devL1A	10.5
RP	devL1LP	5.5
RP	devLPA	5.0
RP	mass	1.3
RP	eggsize	225.47231433600652
RP	winglength	1.875
RP	devL1A	11.5
RP	devL1LP	7.5
RP	devLPA	4.0
PP	mass	1.0
PP	eggsize	176.32361348151656
PP	ovarno	23.0
PP	winglength	1.876
PP	devL1A	11.5
PP	devL1LP	6.5
PP	devLPA	5.0
PP	mass	1.4
PP	eggsize	185.973584558298
PP	winglength	1.876
PP	devL1A	11.5
PP	devL1LP	7.5
PP	devLPA	4.0
RP	mass	1.4
RP	eggsize	110.44665068659113
RP	winglength	1.876
RP	devL1A	10.5
RP	devL1LP	6.5
RP	devLPA	4.0
PP	mass	1.2
PP	eggsize	101.7804293081524
PP	ovarno	29.0
PP	winglength	1.88
PP	devL1A	11.5
PP	devL1LP	8.5
PP	devLPA	3.0
PP	mass	1.2
PP	eggsize	231.08589847515213
PP	winglength	1.885
PP	devL1A	10.5
PP	devL1LP	6.5
PP	devLPA	4.0
RP	mass	1.2
RP	eggsize	180.0945767501981
RP	ovarno	27.0
RP	winglength	1.886
RP	devL1A	10.5
RP	devL1LP	6.5
RP	devLPA	4.0
RP	mass	1.1
RP	eggsize	73.80809304521976
RP	ovarno	33.0
RP	winglength	1.892
RP	devL1A	10.5
RP	devL1LP	6.5
RP	devLPA	4.0
PP	mass	1.4
PP	eggsize	81.07512264435904
PP	ovarno	32.0
PP	winglength	1.8940000000000001
PP	devL1A	11.5
PP	devL1LP	7.5
PP	devLPA	4.0
RP	mass	1.2
RP	eggsize	98.47609019312016
RP	winglength	1.8940000000000001
RP	devL1A	11.5
RP	devL1LP	7.5
RP	devLPA	4.0
SS	mass	1.6
SS	eggsize	110.08296854688976
SS	ovarno	38.0
SS	winglength	1.899
SS	devL1A	9.5
SS	devL1LP	5.5
SS	devLPA	4.0
PP	mass	1.1
PP	eggsize	97.1117083921885
PP	winglength	1.9
PP	devL1A	11.5
PP	devL1LP	7.5
PP	devLPA	4.0
PP	mass	1.2
PP	eggsize	97.62451420325822
PP	winglength	1.903
PP	devL1A	11.5
PP	devL1LP	7.5
PP	devLPA	4.0
PP	mass	0.8
